model,term,op,label,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
lm1,(Intercept),NA,NA,-0.0012147448465402787,0.04436066821611969,-0.027383375755797724,0.9781661239026775,NA,NA,NA,NA,NA,NA,NA,NA
lm1,rm,NA,NA,-0.12587208113716636,0.04446715605723979,-2.8306753185460996,0.004853482324058553,NA,NA,NA,NA,NA,NA,NA,NA
lm1,estimation_condition,NA,NA,0.3109579322948764,0.04440993215094298,7.0019907086994655,9.256080556056044e-12,NA,NA,NA,NA,NA,NA,NA,NA
lm1,rm:estimation_condition,NA,NA,-0.02329185305215909,0.044561400229139785,-0.5226912290096302,0.6014469522356896,NA,NA,NA,NA,NA,NA,NA,NA
lm2,(Intercept),NA,NA,-0.0013077395866204853,0.04463523470043098,-0.02929836922326877,0.9766399116511416,NA,NA,NA,NA,NA,NA,NA,NA
lm2,rm,NA,NA,-0.1157787081197251,0.044783173588298066,-2.5853171814955584,0.010049602749299565,NA,NA,NA,NA,NA,NA,NA,NA
lm2,estimation_condition,NA,NA,0.31382816492392973,0.044721533924910344,7.017383738466187,8.594458722000135e-12,NA,NA,NA,NA,NA,NA,NA,NA
lm2,age,NA,NA,-0.08311065792218629,0.04532252348061293,-1.8337606015635368,0.0673647924534473,NA,NA,NA,NA,NA,NA,NA,NA
lm2,female,NA,NA,-0.018673930592129923,0.04570882716456142,-0.4085410138593107,0.6830752791356861,NA,NA,NA,NA,NA,NA,NA,NA
lm2,rm:estimation_condition,NA,NA,-0.026341343563607126,0.04517764167879644,-0.5830615008833032,0.5601506073109432,NA,NA,NA,NA,NA,NA,NA,NA
lm3,(Intercept),NA,NA,0.001483530281552954,0.06626480277090317,0.02238790759978495,0.9821594850645028,NA,NA,NA,NA,NA,NA,NA,NA
lm3,rm,NA,NA,-0.08377497911500642,0.06781137718280987,-1.235411852632943,0.21803814464974733,NA,NA,NA,NA,NA,NA,NA,NA
lm3,low_rep_est,NA,NA,0.15448644843292814,0.06739452169388696,2.29227012151851,0.02286685472444733,NA,NA,NA,NA,NA,NA,NA,NA
lm3,age,NA,NA,-0.08562347950459748,0.06720267922777055,-1.2741081231954037,0.20401349950553893,NA,NA,NA,NA,NA,NA,NA,NA
lm3,female,NA,NA,0.13701475564349616,0.06779952818154115,2.0208806656681024,0.044543751247362054,NA,NA,NA,NA,NA,NA,NA,NA
lm3,low_rep_est:age,NA,NA,0.012381484492132819,0.060463411102905915,0.2047764799617426,0.8379423106054464,NA,NA,NA,NA,NA,NA,NA,NA
