model,term,op,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
sem1,lonely ~ rm,~,-0.3744647760493099,0.04245622949971336,-8.820019593398845,0,-0.3744647760493099,-0.2633378201805132,-0.49021473947087185,NA,NA,NA,NA,NA
sem1,network ~ rm,~,0.3229019184702314,0.07819836133717915,4.129267070929129,3.639214799822099e-5,0.3229019184702314,0.12676660948581192,0.23598152517589482,NA,NA,NA,NA,NA
sem1,extroversion ~ rm,~,0.4130462731959634,0.07435211604673925,5.555272602279592,2.7717884210076704e-8,0.4130462731959634,0.1694451768816334,0.3154295238818584,NA,NA,NA,NA,NA
sem1,low_rep_est ~ rm,~,-0.20761390948047598,0.06838785953418348,-3.0358299103761355,0.0023987464000654324,-0.20761390948047598,-0.09354458598337413,-0.17413729184557022,NA,NA,NA,NA,NA
sem1,addiction ~ lonely,~,0.09979583987809405,0.039446493878931545,2.5299039297227686,0.011409376184603026,0.09979583987809405,0.0741959844853007,0.0741959844853007,NA,NA,NA,NA,NA
sem1,addiction ~ network,~,0.21185368836139856,0.021999460120805395,9.62994942594267,0,0.21185368836139856,0.2821447725991487,0.2821447725991487,NA,NA,NA,NA,NA
sem1,addiction ~ extroversion,~,0.04589239717440238,0.022999575868832712,1.9953584116562904,0.046003803381019726,0.04589239717440238,0.05848984471818329,0.05848984471818329,NA,NA,NA,NA,NA
sem1,addiction ~ low_rep_est,~,0.1171741297250434,0.025240037231113368,4.642391318686447,3.443998029428741e-6,0.1171741297250434,0.13596895329583508,0.13596895329583508,NA,NA,NA,NA,NA
sem1,lonely ~~ lonely,~~,0.5430465829813523,0.0237685032293142,22.847319317591754,0,0.5430465829813523,0.9306531924625756,0.9306531924625756,NA,NA,NA,NA,NA
sem1,network ~~ network,~~,1.8422541592776678,0.08063327402524591,22.847319317591722,0,1.8422541592776678,0.9839302267194717,0.9839302267194717,NA,NA,NA,NA,NA
sem1,extroversion ~~ extroversion,~~,1.6654856948010932,0.07289632852107597,22.847319317591747,0,1.6654856948010932,0.971288332031552,0.971288332031552,NA,NA,NA,NA,NA
sem1,low_rep_est ~~ low_rep_est,~~,1.4090041195034366,0.061670434938883495,22.847319317591726,0,1.4090041195034366,0.9912494104331991,0.9912494104331991,NA,NA,NA,NA,NA
sem1,addiction ~~ addiction,~~,0.9444983409085494,0.04133956932887595,22.847319317591715,0,0.9444983409085494,0.8947215833473688,0.8947215833473688,NA,NA,NA,NA,NA
sem1,rm ~~ rm,~~,0.28857170283392786,0,NA,NA,0.28857170283392786,1,0.28857170283392786,NA,NA,NA,NA,NA
sem2,network ~ rm,~,0.3229019184702314,0.0781983613371792,4.129267070929127,3.639214799822099e-5,0.3229019184702314,0.12676660948581192,0.23598152517589482,NA,NA,NA,NA,NA
sem2,addiction ~ network,~,0.22018324883259377,0.02204603840538891,9.987429250725265,0,0.22018324883259377,0.29224621314765115,0.29224621314765115,NA,NA,NA,NA,NA
sem2,low_rep_est ~ rm,~,-0.20761390948047598,0.06838785953418357,-3.0358299103761315,0.0023987464000654324,-0.20761390948047598,-0.09354458598337413,-0.17413729184557022,NA,NA,NA,NA,NA
sem2,addiction ~ low_rep_est,~,0.12778253086098648,0.025302213782719882,5.05025101591132,4.4122987685746295e-7,0.12778253086098648,0.1477774408001924,0.1477774408001924,NA,NA,NA,NA,NA
sem2,network ~~ network,~~,1.8422541592776678,0.0806332740252459,22.847319317591726,0,1.8422541592776678,0.9839302267194717,0.9839302267194717,NA,NA,NA,NA,NA
sem2,addiction ~~ addiction,~~,0.9499172764702157,0.0415767496950423,22.847319317591726,0,0.9499172764702157,0.8937782397133812,0.8937782397133812,NA,NA,NA,NA,NA
sem2,low_rep_est ~~ low_rep_est,~~,1.4090041195034366,0.06167043493888356,22.847319317591705,0,1.4090041195034366,0.9912494104331991,0.9912494104331991,NA,NA,NA,NA,NA
sem2,rm ~~ rm,~~,0.28857170283392786,0,NA,NA,0.28857170283392786,1,0.28857170283392786,NA,NA,NA,NA,NA
sem3,network ~ rm,~,0.4163345801769031,0.09788688841814688,4.253221109638627,2.107173279131125e-5,0.4163345801769031,0.1621419427483786,0.30186641525104563,NA,NA,NA,NA,NA
sem3,addiction ~ network,~,0.25622440006781255,0.02705226696015523,9.471457621100686,0,0.25622440006781255,0.33794692129048687,0.33794692129048687,NA,NA,NA,NA,NA
sem3,low_rep_est ~ rm,~,-0.21277657192371374,0.08502662582431125,-2.502469901173893,0.01233301117450547,-0.21277657192371374,-0.096230170699211,-0.17915572106500813,NA,NA,NA,NA,NA
sem3,addiction ~ low_rep_est,~,0.16394244392378232,0.03141491654942647,5.218617839262583,1.8026327408549037e-7,0.16394244392378232,0.18620221968922607,0.18620221968922607,NA,NA,NA,NA,NA
sem3,addiction ~ age,~,0.0016429542244643922,0.0030798066195268986,0.5334601900156878,0.5937150616803493,0.0016429542244643922,0.019031896907399287,0.0015711794346992974,NA,NA,NA,NA,NA
sem3,addiction ~1 ,~1,1.1356603925037816,0.2091779103511952,5.429160233014502,5.661983348836941e-8,1.1356603925037816,1.0860474546003673,1.0860474546003673,NA,NA,NA,NA,NA
sem3,network ~~ network,~~,1.8521877165607477,0.1011958251952658,18.30300521772313,0,1.8521877165607477,0.9737099904017815,0.9737099904017815,NA,NA,NA,NA,NA
sem3,addiction ~~ addiction,~~,0.9324482673155327,0.050945091050546426,18.303005217723157,0,0.9324482673155327,0.8527571930348482,0.8527571930348482,NA,NA,NA,NA,NA
