ID,BSMBS_1u,BSMBS_2u,BSMBS_3u,BSMBS_4u,BSMBS_5u,BSMBS_6u,BSMBS_7u,BSMBS_8u,BSMBS_9u,BSMBS_10u,BSMBS_11d,BSMBS_12d,BSMBS_13d,BSMBS_14d,BSMBS_15d,BSMBS_16d,BSMBS_17d,BSMBS_18d,BSMBS_19d,BSMBS_20d,SMBS_1,SMBS_2,SMBS_3,SMBS_4,SMBS_5,SMBS_6,SMBS_7,SMBS_8,SEIS_1,SEIS_2,SEIS_3,SEIS_4,SEIS_5,AC_1,Gender,Age,Nacionality,Marital_Status,Education,Occupation,Household_Income,Household_members_1,SSS,PoliticalOrientation
136,5,5,3,5,3,3,6,3,5,5,3,3,3,3,3,3,3,5,3,3,6,3,2,3,6,3,5,6,1,6,7,1,7,5,1,37,1,2,7,5,20000,5,7,2
137,2,2,3,2,3,2,5,2,2,3,6,3,5,5,4,6,3,5,6,6,2,3,3,3,1,2,3,3,1,7,7,1,7,5,1,26,1,2,6,3,650,1,4,2
138,2,4,2,4,4,3,5,4,4,5,4,3,4,3,2,3,2,3,3,3,3,1,1,2,1,1,5,6,1,5,5,1,7,5,2,40,1,3,7,5,8000,3,6,1
139,3,2,6,2,3,3,2,2,4,4,3,4,1,5,5,3,7,4,3,4,4,2,4,2,1,4,1,6,1,7,7,1,7,5,1,22,1,2,6,2,NA,NA,3,2
140,5,6,6,7,6,5,6,5,6,7,2,3,2,2,4,1,3,2,2,3,3,1,3,4,2,5,6,6,3,6,5,1,5,5,1,33,1,2,7,5,1500,1,7,3
141,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,5,3,4,4,4,4,2,7,7,1,7,5,2,50,1,2,7,5,30000,2,7,3
142,5,5,4,5,4,4,6,3,5,5,2,4,3,3,4,4,1,3,3,2,2,5,1,6,5,4,2,3,5,3,5,2,6,5,1,43,1,4,6,5,2000,3,7,4
143,4,4,3,2,3,1,5,1,4,4,4,3,4,3,3,3,6,3,4,5,6,1,6,1,1,1,6,7,1,7,7,1,7,5,2,43,1,3,7,1,3000,5,6,3
144,3,4,5,5,4,4,5,4,6,4,2,2,2,2,5,2,4,2,2,2,2,5,1,3,5,5,2,2,2,5,4,2,5,5,1,25,1,2,6,5,NA,NA,6,4
145,2,2,2,2,3,2,7,2,2,2,6,3,3,6,5,6,1,3,6,6,7,1,1,1,1,2,3,6,NA,7,7,3,7,5,1,43,1,3,7,5,2100,2,5,2
146,2,3,3,3,3,3,6,2,3,3,5,6,3,4,4,4,2,5,4,6,5,3,5,3,3,4,3,4,1,6,6,1,7,5,2,26,1,1,6,1,2000,4,5,6
147,5,4,5,4,6,5,5,4,3,2,5,5,3,3,6,2,6,4,5,6,4,4,4,5,5,4,4,4,2,7,6,2,3,5,2,30,1,1,6,5,1000,1,6,4
148,3,4,4,2,4,2,2,4,3,2,3,3,2,2,3,2,6,3,3,3,6,2,5,2,2,2,6,6,1,7,7,1,7,5,1,41,1,3,7,5,3000,3,5,2
149,6,1,4,5,1,5,6,4,6,6,3,5,4,4,6,4,1,4,4,4,1,4,4,7,4,4,1,3,1,7,7,1,7,5,2,57,1,3,6,5,1500,4,4,3
150,5,4,1,6,1,1,7,4,4,5,1,7,4,4,4,4,2,4,4,6,4,2,5,5,2,4,4,4,7,7,7,7,7,5,2,44,NA,3,6,5,1200,3,5,4
151,4,1,4,1,1,1,4,1,4,4,7,4,7,4,7,1,1,1,1,7,5,1,5,1,1,1,6,7,1,6,5,1,7,5,2,55,1,3,6,5,2500,4,6,6
152,7,5,6,7,6,5,7,6,6,7,6,7,5,4,5,4,5,4,5,5,1,4,6,4,5,1,3,5,4,4,4,7,6,5,2,47,1,3,2,1,12000,3,5,4
153,4,7,7,7,1,7,7,7,7,7,4,1,1,1,4,1,1,1,1,1,4,4,4,1,4,4,4,4,1,7,4,1,7,1,2,52,1,3,5,5,500,4,5,4
154,4,6,7,7,3,6,7,3,6,4,1,4,3,1,4,4,1,1,2,1,2,6,2,5,7,6,1,1,6,3,4,4,6,5,2,53,1,2,5,5,2000,3,7,6
155,1,4,3,6,6,4,7,4,4,1,6,1,1,1,1,1,1,1,1,1,7,2,1,6,3,6,1,7,1,2,4,1,7,5,2,68,1,3,6,6,6000,2,7,5
156,6,6,6,6,6,7,6,6,6,6,1,1,1,7,1,1,6,1,1,1,2,4,2,5,4,4,2,6,1,7,7,7,7,5,2,43,1,3,7,5,3500,4,7,3
157,7,4,7,7,4,7,7,7,7,7,4,1,7,1,4,4,1,1,1,1,1,4,1,4,4,7,4,1,4,7,7,1,7,5,2,60,1,3,6,6,1300,3,5,4
158,6,5,4,5,4,3,7,4,5,4,6,4,4,3,7,4,1,2,5,5,3,7,1,2,4,3,1,3,1,7,7,1,7,5,2,38,1,3,6,5,NA,NA,5,2
159,6,6,2,2,7,7,7,7,7,6,2,4,2,2,7,2,7,1,4,2,1,7,1,7,7,1,1,1,2,2,7,4,6,5,2,50,1,3,5,5,30000,2,5,5
160,7,7,7,7,4,7,7,7,7,7,1,1,1,1,4,1,7,1,7,4,1,4,1,7,4,4,1,1,1,4,7,1,7,5,2,58,1,3,6,5,6000,3,8,4
161,2,5,5,4,5,6,7,4,6,5,6,2,2,2,2,3,2,2,1,2,1,7,1,7,6,6,2,1,2,6,6,1,6,1,2,22,1,2,6,1,0,4,6,3
162,4,6,4,4,5,4,6,4,5,5,3,2,2,3,3,3,1,2,2,1,3,5,4,5,5,3,4,5,6,1,1,5,1,5,1,42,1,3,7,5,3100,2,6,4
163,2,2,2,2,2,2,6,2,6,2,2,2,2,2,2,2,1,2,2,2,5,1,5,3,1,3,5,7,5,6,6,1,5,5,1,42,1,3,7,5,6000,3,9,3
164,3,5,3,3,3,1,6,2,5,2,5,1,2,3,2,4,3,2,4,3,5,2,3,3,2,3,4,6,1,7,7,1,7,5,2,27,1,1,6,5,1500,1,5,2
165,3,3,4,3,4,3,5,3,3,3,5,4,4,3,3,3,5,4,5,4,2,3,3,5,3,3,3,3,NA,5,5,NA,5,NA,2,40,1,1,6,5,2200,1,7,3
166,2,3,3,5,3,2,5,3,3,3,3,4,5,3,4,4,6,4,4,6,4,3,3,3,3,6,4,3,2,6,6,1,7,5,1,54,1,3,7,5,0,2,7,3
167,6,4,5,6,4,5,7,3,3,6,2,1,1,4,2,2,1,1,1,4,2,3,1,3,1,3,1,1,2,7,7,1,7,5,1,63,1,3,6,6,60000,4,7,3
168,3,3,2,1,2,2,4,2,3,3,4,4,4,3,3,4,3,3,3,3,5,2,3,2,2,2,5,5,2,7,6,1,7,5,1,49,1,3,7,5,3000,3,6,2
169,3,5,3,4,2,2,7,2,3,3,6,5,4,4,4,4,1,4,6,6,7,1,4,1,1,4,7,7,1,7,7,1,7,5,2,30,1,2,7,5,3500,2,4,2
170,5,5,5,5,5,2,5,5,5,5,2,1,2,2,2,2,2,2,2,3,4,1,2,2,2,5,5,3,1,7,6,1,7,5,1,49,1,3,6,5,90000,5,7,3
171,4,4,5,2,3,2,5,4,4,4,6,4,6,6,4,6,2,6,6,6,4,4,5,4,3,4,5,4,2,7,7,1,7,5,2,65,1,3,6,6,4000,2,7,2
172,4,5,5,3,5,2,5,2,3,4,4,3,3,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,1,7,7,7,7,5,1,42,1,2,7,5,3500,4,7,2
