model,term,op,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
sem5,addiction ~1 ,~1,2.080084070070421,0.2205817854342783,9.42999017790694,0,2.080084070070421,1.9890922540136624,1.9890922540136624,NA,NA,NA,NA,NA
sem5,extroversion ~~ extroversion,~~,1.7797632338941787,0.0981215233247982,18.138357147217057,0,1.7797632338941787,0.980212107359902,0.980212107359902,NA,NA,NA,NA,NA
sem5,low_rep_est ~~ low_rep_est,~~,1.4348147472450505,0.07910389764627665,18.13835714721683,0,1.4348147472450505,0.9861728416369627,0.9861728416369627,NA,NA,NA,NA,NA
sem5,addiction ~~ addiction,~~,1.0241224438333891,0.056461698020458695,18.138357147216897,0,1.0241224438333891,0.9364831338179781,0.9364831338179781,NA,NA,NA,NA,NA
sem5,rm ~~ rm,~~,0.2772255763630335,0,NA,NA,0.2772255763630335,1,0.2772255763630335,NA,NA,NA,NA,NA
sem5,rm ~~ age,~~,0.37345791643955,0,NA,NA,0.37345791643955,0.06001235301322246,0.37345791643955,NA,NA,NA,NA,NA
sem5,age ~~ age,~~,139.69109902901857,0,NA,NA,139.69109902901857,1,139.69109902901857,NA,NA,NA,NA,NA
sem5,extroversion ~1 ,~1,2.264006951578477,0.3668101001227726,6.172149978478527,6.736755597813726e-10,2.264006951578477,1.68018333107064,1.68018333107064,NA,NA,NA,NA,NA
sem5,low_rep_est ~1 ,~1,4.148015393541312,0.32935031707802875,12.59453894060948,0,4.148015393541312,3.4388953719526887,3.4388953719526887,NA,NA,NA,NA,NA
sem5,rm ~1 ,~1,3.6760385005065856,0,NA,NA,3.6760385005065856,6.981735692906567,3.6760385005065856,NA,NA,NA,NA,NA
sem5,age ~1 ,~1,47.4483282674772,0,NA,NA,47.4483282674772,4.014547016772807,47.4483282674772,NA,NA,NA,NA,NA
sem6,lonely ~ rm,~,-0.26238272788399347,0.04394558256736728,-5.9706280484908465,2.363420126272331e-9,-0.26238272788399347,-0.18171000663113093,-0.34518643640378144,NA,NA,NA,NA,NA
sem6,low_rep_est ~ rm,~,-0.2047644330614178,0.07026873883116758,-2.914018900401766,0.0035680830348863157,-0.2047644330614178,-0.08982207104517058,-0.17063100260312142,NA,NA,NA,NA,NA
sem6,addiction ~ lonely,~,0.02514571521391574,0.04169858654706267,0.6030351936638259,0.5464852769565902,0.02514571521391574,0.018476727660107557,0.018476727660107557,NA,NA,NA,NA,NA
sem6,addiction ~ low_rep_est,~,0.12113461641334183,0.02641230318539927,4.586295089945245,4.511807895068998e-6,0.12113461641334183,0.1405220229866827,0.1405220229866827,NA,NA,NA,NA,NA
sem6,lonely ~~ lonely,~~,0.5587032459167864,0.024453776749493842,22.84731931759174,0,0.5587032459167864,0.9669814734901144,0.9669814734901144,NA,NA,NA,NA,NA
sem6,low_rep_est ~~ low_rep_est,~~,1.4284829471729634,0.06252300006474178,22.847319317591726,0,1.4284829471729634,0.9919319955531564,0.9919319955531564,NA,NA,NA,NA,NA
sem6,addiction ~~ addiction,~~,1.0485532700365015,0.04589392985063016,22.847319317591715,0,1.0485532700365015,0.9798274173660488,0.9798274173660488,NA,NA,NA,NA,NA
sem6,rm ~~ rm,~~,0.2771087527667272,0,NA,NA,0.2771087527667272,1,0.2771087527667272,NA,NA,NA,NA,NA
sem7,lonely ~ rm,~,-0.3048053555712257,0.05478036739068086,-5.564134928074226,2.6345604586808236e-8,-0.3048053555712257,-0.21198287390948548,-0.40260960184579425,NA,NA,NA,NA,NA
sem7,low_rep_est ~ rm,~,-0.2693836404396819,0.08868870663627083,-3.0374063469487176,0.0023862354168708855,-0.2693836404396819,-0.11758893809809402,-0.22333141671321108,NA,NA,NA,NA,NA
sem7,addiction ~ lonely,~,-0.007609572572413058,0.05252563891915102,-0.144873489004597,0.8848107582901463,-0.007609572572413058,-0.00553052168274186,-0.00553052168274186,NA,NA,NA,NA,NA
sem7,addiction ~ low_rep_est,~,0.16846155167171736,0.032965834995824166,5.11018609700184,3.2184163467618987e-7,0.16846155167171736,0.19506958683541947,0.19506958683541947,NA,NA,NA,NA,NA
sem7,addiction ~ age,~,-0.005320885399343437,0.0033635763489933156,-1.5819130732489315,0.11366941606609915,-0.005320885399343437,-0.06037201108484138,-0.005108004556682166,NA,NA,NA,NA,NA
sem7,addiction ~1 ,~1,2.4456170963855777,0.24471490533362217,9.99373982982951,0,2.4456170963855777,2.3477715332449742,2.3477715332449742,NA,NA,NA,NA,NA
sem7,lonely ~~ lonely,~~,0.5474053905890806,0.03017943610582564,18.138357147216976,0,0.5474053905890806,0.9550632611690753,0.9550632611690753,NA,NA,NA,NA,NA
sem7,low_rep_est ~~ low_rep_est,~~,1.4348147472450505,0.07910389764627553,18.138357147217086,0,1.4348147472450505,0.9861728416369627,0.9861728416369627,NA,NA,NA,NA,NA
sem7,addiction ~~ addiction,~~,1.0396979162308242,0.05732040161037164,18.13835714721684,0,1.0396979162308242,0.9581685570852639,0.9581685570852639,NA,NA,NA,NA,NA
sem7,rm ~~ rm,~~,0.2772255763630335,0,NA,NA,0.2772255763630335,1,0.2772255763630335,NA,NA,NA,NA,NA
sem7,rm ~~ age,~~,0.37345791643955,0,NA,NA,0.37345791643955,0.06001235301322246,0.37345791643955,NA,NA,NA,NA,NA
sem7,age ~~ age,~~,139.69109902901857,0,NA,NA,139.69109902901857,1,139.69109902901857,NA,NA,NA,NA,NA
sem7,lonely ~1 ,~1,3.9408916224430595,0.20342986220067322,19.372237585038377,0,3.9408916224430595,5.205422995458052,5.205422995458052,NA,NA,NA,NA,NA
