model,term,op,label,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
cor.test3,NA,NA,NA,-0.03937180796422068,NA,-0.6014509127688625,0.5481244178185043,NA,NA,NA,233,-0.16650526572672988,0.0890492624571118,Pearson's product-moment correlation,two.sided
lm1,(Intercept),NA,NA,-1.859029710848093e-4,0.04488113069177199,-0.004142118708227881,0.9966969165491579,NA,NA,NA,NA,NA,NA,NA,NA
lm1,rm,NA,NA,-0.08426380929067769,0.04498721308844011,-1.8730613324507108,0.061709410775153004,NA,NA,NA,NA,NA,NA,NA,NA
lm1,estimation_condition,NA,NA,0.29313722104065665,0.04493075257859419,6.524200112782274,1.8473772812512056e-10,NA,NA,NA,NA,NA,NA,NA,NA
lm1,rm:estimation_condition,NA,NA,0.026685828205833293,0.044952319837681734,0.5936474091257828,0.5530469036685073,NA,NA,NA,NA,NA,NA,NA,NA
lm2,(Intercept),NA,NA,-8.508476933781542e-5,0.04511183489932522,-0.0018860853150331092,0.9984959812435249,NA,NA,NA,NA,NA,NA,NA,NA
lm2,rm,NA,NA,-0.07717687236502163,0.045231223664199585,-1.7062742528919677,0.08866588236023286,NA,NA,NA,NA,NA,NA,NA,NA
lm2,estimation_condition,NA,NA,0.2832761503375013,0.045262665154243854,6.2584947079931545,9.269788070970512e-10,NA,NA,NA,NA,NA,NA,NA,NA
lm2,age,NA,NA,-0.11810397781492217,0.04546671671694057,-2.5975919605146567,0.009704178911046116,NA,NA,NA,NA,NA,NA,NA,NA
lm2,female,NA,NA,-0.05412185678253747,0.045559396261840426,-1.1879406055226587,0.2355005776828657,NA,NA,NA,NA,NA,NA,NA,NA
lm2,rm:estimation_condition,NA,NA,0.020154759215977352,0.04524184898562124,0.445489290731308,0.6561862999511898,NA,NA,NA,NA,NA,NA,NA,NA
lm3,(Intercept),NA,NA,7.035831001160089e-4,0.06470590612473304,0.010873553007042628,0.9913340522648277,NA,NA,NA,NA,NA,NA,NA,NA
lm3,rm,NA,NA,-0.020244071586200316,0.06452914766012292,-0.3137198044645884,0.7540271158112323,NA,NA,NA,NA,NA,NA,NA,NA
lm3,low_rep_est,NA,NA,0.1853361488571169,0.0674037001836017,2.7496435411153644,0.006455325484414865,NA,NA,NA,NA,NA,NA,NA,NA
lm3,age,NA,NA,-0.01690991766677881,0.06541450171023722,-0.2585041118509727,0.7962563096162849,NA,NA,NA,NA,NA,NA,NA,NA
lm3,female,NA,NA,0.20867048681510839,0.0649743814421623,3.211580967505767,0.001514956040736713,NA,NA,NA,NA,NA,NA,NA,NA
lm3,low_rep_est:age,NA,NA,0.005552251310552984,0.06345470533604297,0.08749944202166587,0.9303530496424514,NA,NA,NA,NA,NA,NA,NA,NA
