model,term,estimate,std.error,statistic,p.value,op,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
lm7,(Intercept),4.427690907447706,0.15722721495951933,28.161097355745227,1.0807816409091684e-118,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm7,ccias.rich,0.13464566749015294,0.029934546822497257,4.498002534949359,7.978126491527804e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm7,ccias.poor,-0.07292557663456956,0.02461125971775051,-2.963098088878931,0.003144618800414542,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm7,ccias.fatal,-0.09164434364823464,0.023059309192214265,-3.9742883398769546,7.760197380036926e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm7,countryuk,-0.08314932884548502,0.04774721368113553,-1.7414488183702443,0.08202618154540016,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm7,countryza,0.10643080736412418,0.05225176405285414,2.036884482148132,0.042021908916596094,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm8,(Intercept),4.214365881355012,0.17630498144491658,23.90383894326728,1.1550004927264369e-93,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm8,ccias.rich,0.1317004056627197,0.02981066168628329,4.417896088610428,1.1481717986877787e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm8,ccias.poor,-0.06562509595750356,0.02462369292384269,-2.6651199785699053,0.007866624715180357,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm8,ccias.fatal,-0.08589188187214357,0.023014327551092312,-3.732104780444343,2.0468512782267375e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm8,countryuk,-0.09825973109787797,0.05421515478696682,-1.8124034042507124,0.07033571289839723,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm8,countryza,0.09477109382604229,0.05212098605852336,1.8182905004834296,0.06943055952818078,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm8,Gender_fac,0.11598697596091818,0.037937812429390386,3.0572921455814672,0.0023152158843909817,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm8,Age,9.751082041055982e-4,0.0019272517056276135,0.5059578887688945,0.6130393808648521,NA,NA,NA,NA,NA,NA,NA,NA,NA
cfa1,rich =~ ccias.rich,0.6899206108540682,0.03061027725108495,22.538855339169288,0,=~,0.6899206108540682,1,1,NA,NA,NA,NA,NA
cfa1,poor =~ ccias.poor,0.8256554060624612,0.03663253495520647,22.538855339169295,0,=~,0.8256554060624612,1,1,NA,NA,NA,NA,NA
cfa1,fatal =~ ccias.fatal,0.8652912772660711,0.03839109237115158,22.538855339169288,0,=~,0.8652912772660711,1,1,NA,NA,NA,NA,NA
cfa1,ccias.rich ~~ ccias.rich,0,0,NA,NA,~~,0,0,0,NA,NA,NA,NA,NA
cfa1,ccias.poor ~~ ccias.poor,0,0,NA,NA,~~,0,0,0,NA,NA,NA,NA,NA
cfa1,ccias.fatal ~~ ccias.fatal,0,0,NA,NA,~~,0,0,0,NA,NA,NA,NA,NA
cfa1,rich ~~ rich,1,0,NA,NA,~~,1,1,1,NA,NA,NA,NA,NA
cfa1,poor ~~ poor,1,0,NA,NA,~~,1,1,1,NA,NA,NA,NA,NA
cfa1,fatal ~~ fatal,1,0,NA,NA,~~,1,1,1,NA,NA,NA,NA,NA
cfa1,rich ~~ poor,-0.31376288532650703,0.056568457049549194,-5.546604975484433,2.9126978162707928e-8,~~,-0.31376288532650703,-0.31376288532650703,-0.31376288532650703,NA,NA,NA,NA,NA
cfa1,rich ~~ fatal,0.002051163852789671,0.06274531652601963,0.03269031007181358,0.9739215512052954,~~,0.002051163852789671,0.002051163852789671,0.002051163852789671,NA,NA,NA,NA,NA
cfa1,poor ~~ fatal,0.17202430073628508,0.060888790704093275,2.825221173668681,0.004724798978779088,~~,0.17202430073628508,0.17202430073628508,0.17202430073628508,NA,NA,NA,NA,NA
cfa2,rich =~ ccias.rich,0.6963041487273621,0.03232510859300292,21.540659228538022,0,=~,0.6963041487273621,1,1,NA,NA,NA,NA,NA
cfa2,poor =~ ccias.poor,0.8071746433707606,0.03747214209216867,21.540659228538008,0,=~,0.8071746433707606,1,1,NA,NA,NA,NA,NA
cfa2,fatal =~ ccias.fatal,0.8281248226778711,0.038444729749994626,21.540659228538,0,=~,0.8281248226778711,1,1,NA,NA,NA,NA,NA
cfa2,ccias.rich ~~ ccias.rich,0,0,NA,NA,~~,0,0,0,NA,NA,NA,NA,NA
cfa2,ccias.poor ~~ ccias.poor,0,0,NA,NA,~~,0,0,0,NA,NA,NA,NA,NA
