model,term,estimate,std.error,statistic,p.value,op,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
lm1,(Intercept),4.37153603148889,0.23245981619163253,18.805555743385487,1.2318983475347011e-64,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm1,ccias.rich,-0.05932844175976413,0.04403036588268897,-1.3474437600140354,0.17825541100025644,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm1,ccias.poor,0.028989938975488263,0.033758810009649635,0.8587369924236596,0.39076751441562696,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm1,ccias.fatal,-0.054813427868844355,0.036798499221029526,-1.4895560696540497,0.13677289890103378,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm1,countryuk,-0.03787202202569162,0.08307490532109223,-0.45587800406527984,0.6486132865718008,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm1,countryza,-0.026919377244563638,0.08390280284226286,-0.32084002360650604,0.7484234525687053,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,(Intercept),4.267292049801371,0.27571360369330594,15.477263336444421,6.3603513016572105e-47,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,ccias.rich,-0.05917752197207472,0.044116854582035236,-1.3413812596733115,0.1802149956279259,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,ccias.poor,0.02895107617906209,0.03379974619607924,0.8565471471623182,0.39197705680168327,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,ccias.fatal,-0.05254210199704751,0.036931281844645523,-1.4226991150231445,0.1552517415692155,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,countryuk,-0.03833506972805614,0.0832054487770925,-0.460727876497077,0.6451314495396698,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,countryza,-0.027954098577119228,0.08415874360284953,-0.3321591718269512,0.7398646822831545,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,Gender_fac,0.05439703764206425,0.0666986695653615,0.8155640584218515,0.41501625828883426,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,Age,5.975677533241639e-4,0.003056776755035504,0.19548949799483256,0.8450643071895209,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm3,(Intercept),3.685302592398515,0.259438908807984,14.204895515984777,1.2997111117799368e-40,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm3,ccias.rich,-0.009799562658882936,0.04914049346749976,-0.19941929694629767,0.8419902995303891,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm3,ccias.poor,-0.023132699176812307,0.037676829376563914,-0.6139768011159007,0.5394219385919762,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm3,ccias.fatal,-0.014373551785874818,0.04106930238560085,-0.34998285704785365,0.7264525129882189,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm3,countryuk,0.06956720194447345,0.09271650962703701,0.7503216225925204,0.4533027858298626,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm3,countryza,0.006603258604030736,0.09364049224483396,0.07051712828212979,0.9438013811681065,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm4,(Intercept),3.6611093872801095,0.30764671411866973,11.900368894783306,5.7799190470064484e-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm4,ccias.rich,-0.011388019259887127,0.049226462414643075,-0.23133937929489742,0.8171161602056776,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm4,ccias.poor,-0.022440390709049112,0.037714428000569664,-0.5950081148973055,0.552022940461109,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm4,ccias.fatal,-0.012141833519219844,0.04120865766324004,-0.2946427815835142,0.7683507751160248,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm4,countryuk,0.06660090380003068,0.09284229203835721,0.7173552304429853,0.4733850389703279,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm4,countryza,0.0011348346479412334,0.09390599733545496,0.012084794157367067,0.9903612749041677,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm4,Gender_fac,0.061581992105555344,0.07442370000246958,0.8274513643303395,0.40825242360171776,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm4,Age,-0.0019850990875393696,0.003410812204707456,-0.5820018718121219,0.5607456020533975,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm5,(Intercept),3.338120573456851,0.32549031467368916,10.255667904599209,3.7965198589227284e-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm5,ccias.rich,-0.03178674599089362,0.061651333469779995,-0.515588945151928,0.6062976386586181,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm5,ccias.poor,0.04847920566483974,0.047269097399577444,1.0256004098202458,0.3054196960211989,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm5,ccias.fatal,0.042948250506585364,0.05152527127999829,0.8335375911598071,0.4048142509069045,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm5,countryuk,0.027012752636175603,0.11632151103551702,0.23222491176139953,0.8164284160348009,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm5,countryza,-0.1432205915681501,0.11748073342972754,-1.2190985482212635,0.2232005655376745,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm6,(Intercept),3.842808211509226,0.3842343263005787,10.001210064982782,3.7464985596535417e-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm6,ccias.rich,-0.038948217546797496,0.06148122425502383,-0.6334977551071604,0.5266076129037327,NA,NA,NA,NA,NA,NA,NA,NA,NA
