model,term,op,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,block,group,label,parameter,conf.low,conf.high,method,alternative
cfa11,Mobility =~ BSMBS_4u_I1,=~,1,0,NA,NA,0.7164980560177673,0.5570358535468813,0.5570358535468813,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_8u_I2,=~,0.8656266529225409,0.08011497431042394,10.80480472437613,0,0.6202198140561671,0.481636797152934,0.481636797152934,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_9u_I3,=~,0.7277225203114879,0.09810930706643045,7.417466722282955,1.1945999744966684e-13,0.5214117711235312,0.43353456544420277,0.43353456544420277,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_10u_I4,=~,1.0048226869591097,0.1122895410611857,8.948497584575483,0,0.7199535018487516,0.5777859709226343,0.5777859709226343,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_11d_I5,=~,-1.2514340804110744,0.390346549185905,-3.2059565609610936,0.0013461430808656694,-0.896650085848917,-0.6459171034036516,-0.6459171034036516,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_13d_I6,=~,-1.1040022455180258,0.3595092230055427,-3.070859312838839,0.0021344369668077068,-0.7910154627529153,-0.6508095758518108,-0.6508095758518108,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_14d_I7,=~,-1.0282215586068302,0.32248567777305964,-3.1884255006525053,0.0014304986605016001,-0.7367187478973526,-0.6253904353337794,-0.6253904353337794,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_18d_I8,=~,-0.8879878332312123,0.32160822505739123,-2.761085581914922,0.005760957799905819,-0.6362415562775929,-0.5470389932356775,-0.5470389932356775,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_4u_I1 ~~ BSMBS_4u_I1,~~,1.1411189642890176,0.19842057992380074,5.751011133659827,8.871127166187875e-9,1.1411189642890176,0.6897110578632972,0.6897110578632972,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_8u_I2 ~~ BSMBS_8u_I2,~~,1.2735848184234368,0.17277827755528893,7.371209138347212,1.6919798895287386e-13,1.2735848184234368,0.7680259956282635,0.7680259956282635,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_9u_I3 ~~ BSMBS_9u_I3,~~,1.1746156637627692,0.12111750409887885,9.698149516058614,0,1.1746156637627692,0.8120477805651063,0.8120477805651063,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_10u_I4 ~~ BSMBS_10u_I4,~~,1.0343217600927384,0.15133665577582664,6.834575237508011,8.224754211028085e-12,1.0343217600927384,0.6661633718049889,0.6661633718049889,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_11d_I5 ~~ BSMBS_11d_I5,~~,1.1230661238286297,0.1649946771912933,6.806680936298068,9.987566329527908e-12,1.1230661238286297,0.5827910955306363,0.5827910955306363,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_13d_I6 ~~ BSMBS_13d_I6,~~,0.8515720180653281,0.1244463316379064,6.842885658880594,7.761347120549544e-12,0.8515720180653281,0.5764468959795862,0.5764468959795862,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_14d_I7 ~~ BSMBS_14d_I7,~~,0.8449626952535189,0.11112346088858813,7.603819108016034,2.864375403532904e-14,0.8449626952535189,0.6088868033930259,0.6088868033930259,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_18d_I8 ~~ BSMBS_18d_I8,~~,0.9479153863553492,0.11116148646096007,8.527372352908012,0,0.9479153863553492,0.7007483398796963,0.7007483398796963,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility ~~ Mobility,~~,0.5133694642772396,0.2212190689978591,2.320638390726651,0.020306368389267027,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward =~ BSMBS_4u_I1,=~,1,0,NA,NA,1.0694184278795382,0.8314115330144035,0.8314115330144035,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward =~ BSMBS_8u_I2,=~,0.8091154503149002,0.0652226384336712,12.405438813054735,0,0.8652829728488052,0.671942803898407,0.671942803898407,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward =~ BSMBS_9u_I3,=~,0.6065972271944129,0.07258150502252539,8.357462786231256,0,0.6487062530623361,0.5393752225224048,0.5393752225224048,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward =~ BSMBS_10u_I4,=~,0.761859707988799,0.06432575543441398,11.843773972706547,0,0.8147468111821454,0.6538609019618468,0.6538609019618468,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward =~ BSMBS_11d_I5,=~,1,0,NA,NA,0.967031767829012,0.6966176323686518,0.6966176323686518,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward =~ BSMBS_13d_I6,=~,0.8894256386567815,0.06811791027411074,13.057148040473892,0,0.8601028477027154,0.7076514111961385,0.7076514111961385,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward =~ BSMBS_14d_I7,=~,0.8500947019664006,0.08930464813903732,9.519042061986498,0,0.8220685824646454,0.6978427053596614,0.6978427053596614,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward =~ BSMBS_18d_I8,=~,0.7871421100125663,0.09406102550290618,8.368419393729086,0,0.7611914261781106,0.6544709025898336,0.6544709025898336,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_4u_I1 ~~ BSMBS_4u_I1,~~,0.5108307639444277,0.08483884670588332,6.021189393525821,1.7314001343748942e-9,0.5108307639444277,0.30875486277063957,0.30875486277063957,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_8u_I2 ~~ BSMBS_8u_I2,~~,0.9095418484292542,0.07761341895063335,11.718873626837334,0,0.9095418484292542,0.548492868289147,0.548492868289147,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_9u_I3 ~~ BSMBS_9u_I3,~~,1.025666028656143,0.08094117394053334,12.671746389664294,0,1.025666028656143,0.7090743693289063,0.7090743693289063,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_10u_I4 ~~ BSMBS_10u_I4,~~,0.8888413255252474,0.08384718768694611,10.600729136483944,0,0.8888413255252474,0.5724659208856402,0.5724659208856402,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_11d_I5 ~~ BSMBS_11d_I5,~~,0.9918976681143835,0.09711354561734685,10.213793161488756,0,0.9918976681143835,0.5147238742730937,0.5147238742730937,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_13d_I6 ~~ BSMBS_13d_I6,~~,0.7375003659409138,0.06888214376975901,10.706698798545451,0,0.7375003659409138,0.49922948023211366,0.49922948023211366,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_14d_I7 ~~ BSMBS_14d_I7,~~,0.7119205869598462,0.07229337770772679,9.847659765435962,0,0.7119205869598462,0.5130155585763089,0.5130155585763089,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,BSMBS_18d_I8 ~~ BSMBS_18d_I8,~~,0.7733050554706794,0.07216531298954265,10.715744496012062,0,0.7733050554706794,0.5716678376632485,0.5716678376632485,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward ~~ Upward,~~,1.143655773888343,0.12409060029071194,9.216296570482015,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward ~~ Downward,~~,0.9351504399905042,0.1242283852677507,7.527671216002405,5.1736392947532295e-14,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward ~~ Downward,~~,-0.45900760915459965,0.07442356859938841,-6.167503356703747,6.937663776795944e-10,-0.44384515178584194,-0.44384515178584194,-0.44384515178584194,NA,NA,NA,NA,NA,NA,NA,NA
cfa33,Upward =~ BSMBS_4u_I1,=~,1,0,NA,NA,1.0644299443577145,0.8421286381226972,0.8421286381226972,1,1,NA,NA,NA,NA,NA,NA
cfa33,Upward =~ BSMBS_8u_I2,=~,0.8400352377692942,0.08482709613440768,9.902911640854319,0,0.8941586613972894,0.6805030512549358,0.6805030512549358,1,1,NA,NA,NA,NA,NA,NA
cfa33,Upward =~ BSMBS_9u_I3,=~,0.573672119271862,0.084688062063993,6.773943166138069,1.2531975457363842e-11,0.6106337819961203,0.5369998923144428,0.5369998923144428,1,1,NA,NA,NA,NA,NA,NA
cfa33,Upward =~ BSMBS_10u_I4,=~,0.7341122758420486,0.0764062894724437,9.608008462533832,0,0.7814110889268671,0.6501069967891692,0.6501069967891692,1,1,NA,NA,NA,NA,NA,NA
cfa33,Downward =~ BSMBS_11d_I5,=~,1,0,NA,NA,0.944439684751578,0.6867588226349491,0.6867588226349491,1,1,NA,NA,NA,NA,NA,NA
cfa33,Downward =~ BSMBS_13d_I6,=~,0.9573541643300427,0.09265461030310525,10.332504353514697,0,0.904163265155476,0.7518492028239231,0.7518492028239231,1,1,NA,NA,NA,NA,NA,NA
cfa33,Downward =~ BSMBS_14d_I7,=~,0.838701788148612,0.11028964262831054,7.604538088632118,2.864375403532904e-14,0.7921032523996598,0.6700055696352596,0.6700055696352596,1,1,NA,NA,NA,NA,NA,NA
cfa33,Downward =~ BSMBS_18d_I8,=~,0.8005058986050647,0.12411144528989461,6.44989587169237,1.1192713422758516e-10,0.756029538520346,0.6416779452151311,0.6416779452151311,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_4u_I1 ~~ BSMBS_4u_I1,~~,0.46462289188062955,0.09546656219064206,4.866865227144142,1.1338229151114376e-6,0.46462289188062955,0.29081935685361104,0.29081935685361104,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_8u_I2 ~~ BSMBS_8u_I2,~~,0.9269899849127038,0.1053182848310845,8.801795304580429,0,0.9269899849127038,0.536915597232722,0.536915597232722,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_9u_I3 ~~ BSMBS_9u_I3,~~,0.920170245660429,0.08714559058190609,10.558999480250039,0,0.920170245660429,0.7116311156542768,0.7116311156542768,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_10u_I4 ~~ BSMBS_10u_I4,~~,0.8341359199587238,0.09418628353917465,8.856235628108035,0,0.8341359199587238,0.5773608927257673,0.5773608927257673,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_11d_I5 ~~ BSMBS_11d_I5,~~,0.9992445733510388,0.1157366547872228,8.633777908892476,0,0.9992445733510388,0.5283623195330585,0.5283623195330585,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_13d_I6 ~~ BSMBS_13d_I6,~~,0.6287016845296035,0.08082695958018833,7.778366126785572,7.327471962526033e-15,0.6287016845296035,0.4347227762130314,0.4347227762130314,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_14d_I7 ~~ BSMBS_14d_I7,~~,0.7702492722928831,0.09006451972309429,8.552194300941531,0,0.7702492722928831,0.5510925366577314,0.5510925366577314,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_18d_I8 ~~ BSMBS_18d_I8,~~,0.816591408562549,0.09262291655368271,8.816299885021069,0,0.816591408562549,0.5882494146244872,0.5882494146244872,1,1,NA,NA,NA,NA,NA,NA
cfa33,Upward ~~ Upward,~~,1.1330111064453674,0.14212419343339108,7.971979147775233,1.5543122344752192e-15,1.0000000000000002,1.0000000000000002,1.0000000000000002,1,1,NA,NA,NA,NA,NA,NA
cfa33,Downward ~~ Downward,~~,0.89196631813366,0.14881564201258662,5.993767228166907,2.050347891469073e-9,0.9999999999999999,0.9999999999999999,0.9999999999999999,1,1,NA,NA,NA,NA,NA,NA
cfa33,Upward ~~ Downward,~~,-0.49287578166285956,0.09175308878996653,-5.371762282478679,7.797085377347912e-8,-0.4902822468766677,-0.4902822468766677,-0.4902822468766677,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_4u_I1 ~1 ,~1,3.7372549019607844,0.07915315705836831,47.2154875541464,0,3.7372549019607844,2.9567463763946296,2.9567463763946296,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_8u_I2 ~1 ,~1,3.5764705882352943,0.08228370790494093,43.46511210174252,0,3.5764705882352943,2.7218873485097026,2.7218873485097026,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_9u_I3 ~1 ,~1,4.1568627450980395,0.07120919575069105,58.37536432305092,0,4.1568627450980395,3.655603263852423,3.655603263852423,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_10u_I4 ~1 ,~1,3.827450980392157,0.07527040506703905,50.84934745579308,0,3.827450980392157,3.184306823233966,3.184306823233966,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_11d_I5 ~1 ,~1,3.776470588235294,0.08611918489674826,43.85167593914243,0,3.776470588235294,2.746098598741301,2.746098598741301,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_13d_I6 ~1 ,~1,3.2745098039215685,0.07530885411021357,43.48107327631575,0,3.2745098039215685,2.7228905227577545,2.7228905227577545,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_14d_I7 ~1 ,~1,3.4274509803921567,0.07403438034480207,46.29539633383042,0,3.4274509803921567,2.8991311922500596,2.8991311922500596,1,1,NA,NA,NA,NA,NA,NA
cfa33,BSMBS_18d_I8 ~1 ,~1,3.207843137254902,0.07378223864915917,43.47717277200641,0,3.207843137254902,2.7226478437797046,2.7226478437797046,1,1,NA,NA,NA,NA,NA,NA
cfa33,Upward ~1 ,~1,0,0,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA,NA
cfa33,Downward ~1 ,~1,0,0,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA,NA
