model,term,estimate,std.error,statistic,p.value
lm1,(Intercept),0.22476824704121126,0.12092802732383726,1.8586943987707396,0.06307046786557115
lm1,Condition,0.2883275252593119,0.18107993871691083,1.592266527713295,0.11132483053040788
lm2,(Intercept),0.555956678700364,0.029558641965821374,18.808600183432517,2.456319385614963e-60
lm2,Condition,0.0695752361932556,0.043630031488675905,1.594663900513428,0.11140690150668071
