model,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative
cor.test1,0.501025578225601,7.413932602852564,6.205149777586429e-12,164,0.3775148643953052,0.6070210736214787,Pearson's product-moment correlation,two.sided
cor.test1,0.6266243093960095,10.297042715878556,1.7156220008423005e-19,164,0.5243512727845538,0.7110748840170346,Pearson's product-moment correlation,two.sided
cor.test1,0.5313414870792961,8.032141885419144,1.7709564200441678e-13,164,0.4123972442757015,0.6324738853412588,Pearson's product-moment correlation,two.sided
cor.test1,0.5314523241996316,8.034476782728307,1.7469285873352327e-13,164,0.4125254198695982,0.6325665436434086,Pearson's product-moment correlation,two.sided
cor.test1,0.45626840686704495,6.566430081189689,6.494185143133154e-10,164,0.32664882964408115,0.5690417964877146,Pearson's product-moment correlation,two.sided
cor.test1,0.26123181185549577,3.465743643586136,6.750174899928057e-4,164,0.11342357004597652,0.3977272621767062,Pearson's product-moment correlation,two.sided
cor.test1,0.6655109812810012,11.418589690131263,1.3604336716103406e-22,164,0.5710808786634151,0.7425581524886031,Pearson's product-moment correlation,two.sided
cor.test1,0.5837391053756014,9.206956375790096,1.5302146018399402e-16,164,0.4735212229450976,0.6759571877782563,Pearson's product-moment correlation,two.sided
cor.test1,0.7239428447800573,13.438947839866389,3.080355300168589e-28,164,0.6424675642811013,0.7892338987715865,Pearson's product-moment correlation,two.sided
cor.test1,-0.41566741351055486,-5.852713055985265,2.5604773283024966e-8,164,-0.5341680236308781,-0.2811467390674992,Pearson's product-moment correlation,two.sided
cor.test1,-0.14629524604857227,-1.8938694659145003,0.060003016335201095,164,-0.2921074536001698,0.006163607568617868,Pearson's product-moment correlation,two.sided
cor.test1,-0.1862586887124526,-2.4277590388729955,0.016274257237817023,164,-0.329239278420651,-0.03492813769151761,Pearson's product-moment correlation,two.sided
cor.test1,-0.29499393033910115,-3.953709077342612,1.142121393377335e-4,164,-0.42808011725228057,-0.14938487386791924,Pearson's product-moment correlation,two.sided
cor.test1,0.0016506874033472834,0.021139141841253952,0.9831603584483135,164,-0.15070871039846384,0.15393348743673455,Pearson's product-moment correlation,two.sided
cor.test1,-0.2426715484273817,-3.203468599164864,0.001631567028589436,164,-0.3809129501600401,-0.09381793935092647,Pearson's product-moment correlation,two.sided
cor.test1,0.07107951677158113,0.9125701604428649,0.3628081962104185,164,-0.08213121722973321,0.2210081790446978,Pearson's product-moment correlation,two.sided
cor.test1,-0.2779884010273801,-3.706065205885894,2.8750206041175863e-4,164,-0.41282922506298897,-0.13122336800392292,Pearson's product-moment correlation,two.sided
cor.test1,-0.10139871567704782,-1.3052646547230837,0.193631028662198,164,-0.24986106466336724,0.05172163997947176,Pearson's product-moment correlation,two.sided
cor.test1,-0.24894717820233092,-3.291712186627153,0.0012194234452199278,164,-0.38660848540786613,-0.10043413722924184,Pearson's product-moment correlation,two.sided
cor.test1,0.46353746953719754,6.699388290908749,3.191742202588711e-10,164,0.3348592823622268,0.5752429530594427,Pearson's product-moment correlation,two.sided
cor.test1,0.33619493047254445,4.571491242409509,9.492077153121321e-6,164,0.1937977544103254,0.4647183398727738,Pearson's product-moment correlation,two.sided
cor.test1,0.5364429459386769,8.14021071041935,9.394846278302229e-14,164,0.4183016183272451,0.6367356374299031,Pearson's product-moment correlation,two.sided
cor.test1,0.40922657295853104,5.743608936232362,4.392140488690651e-8,164,0.27398356195446866,0.5285984195922604,Pearson's product-moment correlation,two.sided
cor.test1,0.19375091074691297,2.5291477446097135,0.012377655960527202,164,0.0426892705346196,0.33615175973333195,Pearson's product-moment correlation,two.sided
cor.test1,0.4042744609659153,5.660426070063514,6.599856151712119e-8,164,0.26848625828025596,0.5243091671884783,Pearson's product-moment correlation,two.sided
cor.test1,0.5182580176175361,7.760468030930947,8.581826762495565e-13,164,0.3973001158102266,0.6215159117410445,Pearson's product-moment correlation,two.sided
cor.test1,0.3997485623102364,5.584923323722703,9.5208873104019793e-08,164,0.26346981465995645,0.5203837431718102,Pearson's product-moment correlation,two.sided
cor.test1,-0.18862554612297944,-2.4597402021531614,0.014941468019598347,164,-0.3314246479651709,-0.03737797558217721,Pearson's product-moment correlation,two.sided
cor.test1,-0.40727789965583827,-5.710804253514931,5.159565718801177e-8,164,-0.5269113109048899,-0.2718192987300778,Pearson's product-moment correlation,two.sided
cor.test1,-0.23062942129464292,-3.0353250013264614,0.002795205648649076,164,-0.3699544908074047,-0.0811590187167106,Pearson's product-moment correlation,two.sided
cor.test1,-0.19541000647817508,-2.551660943236469,0.011634878240326415,164,-0.33768040422405604,-0.044410383710996044,Pearson's product-moment correlation,two.sided
cor.test1,-0.13391620657064093,-1.7305518876264383,0.0854127134937491,164,-0.2805156631868869,0.018788552630210065,Pearson's product-moment correlation,two.sided
cor.test1,-0.3339861178428853,-4.537671411313715,1.0948544729944084e-5,164,-0.462765242040959,-0.19140185116389002,Pearson's product-moment correlation,two.sided
cor.test1,0.03046810042484452,0.3903632947939114,0.6967744909796042,164,-0.12242155584291624,0.18194520671227601,Pearson's product-moment correlation,two.sided
cor.test1,-0.14592179271953923,-1.8889295945976319,0.06066651409459803,164,-0.29175837575832075,0.006545191763190019,Pearson's product-moment correlation,two.sided
cor.test1,-0.17744399794400875,-2.3090342239167754,0.022189332458280808,164,-0.3210869907588948,-0.025820380723208105,Pearson's product-moment correlation,two.sided
cor.test1,-0.1075525133952687,-1.385380240359324,0.16781755495609732,164,-0.25568523879610117,0.04551463723785777,Pearson's product-moment correlation,two.sided
cor.test1,0.6441424192736069,10.7844002038896,7.815254113495805e-21,164,0.5453265827355374,0.725299863774095,Pearson's product-moment correlation,two.sided
cor.test1,0.39374876848683776,5.485580179439606,1.534712124031716e-7,164,0.25683106825862,0.5151721022957804,Pearson's product-moment correlation,two.sided
cor.test1,0.4105061117872614,5.765200451252333,3.9492171838683034e-8,164,0.27540540694521903,0.5297056970612819,Pearson's product-moment correlation,two.sided
cor.test1,0.30736051404000425,4.136363458591558,5.6232821533573144e-5,164,0.1626540862404612,0.43912331183579023,Pearson's product-moment correlation,two.sided
cor.test1,0.5281230099937037,7.964590583856612,2.6274996955686157e-13,164,0.40867734696929064,0.629782020055914,Pearson's product-moment correlation,two.sided
cor.test1,0.5317605647493173,8.040973209862026,1.6817628073542754e-13,164,0.4128819038680893,0.6328242132700619,Pearson's product-moment correlation,two.sided
cor.test1,0.5321128620570479,8.048403626618734,1.6101784091389568e-13,164,0.4132893846603252,0.633118684154069,Pearson's product-moment correlation,two.sided
cor.test1,-0.25954460641012805,-3.4417371969493105,7.333786507183672e-4,164,-0.39620255002473664,-0.1116365672362515,Pearson's product-moment correlation,two.sided
cor.test1,-0.19398724754541527,-2.5323533484516023,0.01226936874153174,164,-0.33636955969836285,-0.04293438691578968,Pearson's product-moment correlation,two.sided
cor.test1,-0.24619715651044619,-3.252989736435705,0.0013866218068246793,164,-0.38411395677579097,-0.09753325874279341,Pearson's product-moment correlation,two.sided
