model,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative
cor.test1,0.6233884566165815,10.05308322438241,1.0322434843908003e-18,159,0.5187309488525348,0.7096382061333446,Pearson's product-moment correlation,two.sided
cor.test1,0.5739853294533392,8.838666286312632,1.7263757352013842e-15,159,0.46016437538209304,0.6692439682109478,Pearson's product-moment correlation,two.sided
cor.test1,0.5445485613734161,8.186784420764623,8.207481493880814e-14,159,0.42573227421414167,0.6449044237677216,Pearson's product-moment correlation,two.sided
cor.test1,0.5668777243269761,8.6769109503464,4.5433193522155166e-15,159,0.4518191572270722,0.663385765653677,Pearson's product-moment correlation,two.sided
cor.test1,0.5835193471005637,9.060344674724313,4.542265557875984e-16,159,0.4713901783746992,0.6770835064582427,Pearson's product-moment correlation,two.sided
cor.test1,0.2823004727407326,3.710598257585456,2.8544730523648835e-4,159,0.1334528093307574,0.41869317718885724,Pearson's product-moment correlation,two.sided
cor.test1,0.45194638282453153,6.388496529698073,1.7661592320860266e-9,159,0.3196140696866981,0.5669862108426006,Pearson's product-moment correlation,two.sided
cor.test1,0.5036794904766326,7.351806706823033,9.721635581575703e-12,159,0.3784916150918367,0.6107712600042157,Pearson's product-moment correlation,two.sided
cor.test1,0.5615476860599873,8.557489903348772,9.246316915117931e-15,159,0.44557420958924066,0.6589848863076436,Pearson's product-moment correlation,two.sided
cor.test1,-0.5924197710866044,-9.272413085629765,1.2548527962626616e-16,159,-0.6843829434777193,-0.48190285402838784,Pearson's product-moment correlation,two.sided
cor.test1,-0.3272101234120762,-4.366321666335895,2.2682498113805185e-5,159,-0.45867109099493464,-0.18173299265060966,Pearson's product-moment correlation,two.sided
cor.test1,-0.44536518538934167,-6.272237125184216,3.2235148791639826e-9,159,-0.5613691181121743,-0.312196553568106,Pearson's product-moment correlation,two.sided
cor.test1,-0.4188265668661159,-5.815877514035193,3.216152633380182e-8,159,-0.5386092667331609,-0.28244933011867795,Pearson's product-moment correlation,two.sided
cor.test1,-0.17852846283008905,-2.287914178896847,0.02346017569095684,159,-0.3242495319856974,-0.02453100725308579,Pearson's product-moment correlation,two.sided
cor.test1,-0.4102652996157351,-5.672631817335807,6.481428147241655e-8,159,-0.5312295337939248,-0.2729086073094272,Pearson's product-moment correlation,two.sided
cor.test1,0.010035454990575537,0.12654864508954927,0.8994575329375055,159,-0.14486425948460815,0.16445503400243172,Pearson's product-moment correlation,two.sided
cor.test1,-0.5124441955605225,-7.524771128487574,3.681982666724093e-12,159,-0.618125075244321,-0.3885681197076923,Pearson's product-moment correlation,two.sided
